H/V,330,387,444,501,558,615,672,729,786,843,900
500,0,48.6798,106.268,166.934,232.8,307.641,398.628,529.932,776.602,0,0
1250,269.008,317.072,373.672,435.818,502.638,577.935,667.908,779.551,933.472,2129.77,0
2000,526.988,574.237,629.494,693.092,760.601,835.792,924.516,1028.58,1161.69,1335.16,0
2750,778.58,824.881,878.574,943.882,1012.1,1086.97,1172.81,1267.64,1377.86,1543.93,0
3500,1018.17,1063.64,1115.99,1179.1,1248.5,1323.59,1408.3,1500,1600.74,1742.45,0
4250,1246.61,1291.28,1342.35,1403.29,1474.34,1549.66,1630.36,1720.7,1818.1,1937.86,2910.03
5000,1467.89,1511.69,1561.4,1620.02,1687.33,1762.01,1842.72,1928.85,2024.68,2140.3,2276.67
5750,1682.75,1722.31,1770.75,1827.28,1891.2,1962.19,2042.06,2128.01,2219.43,2320.59,2464.26
6500,1887.81,1925.88,1973.1,2026.51,2086.18,2153.81,2229.81,2314.73,2405.78,2502.33,2620.49
7250,2086.3,2124.03,2166.95,2217.19,2273.63,2337.05,2409.5,2490.37,2580.2,2676.2,2789.05
8000,2281.78,2313.02,2353.97,2399.8,2452.95,2513.17,2581.24,2658.39,2743.99,2838.6,2950.21
