H/V,330,387,444,501,558,615,672,729,786,843,900
500,0,49.7148,105.948,164.212,225.846,292.965,369.035,463.011,588.042,779.355,1207.25
1250,256.264,309.036,368.326,429.649,494.34,564.784,645.722,744.606,864.231,1041.98,1367.43
2000,498.595,554.282,616.487,680.724,748.331,822.102,907.684,1011.25,1123.55,1283.95,1599.02
2750,728.828,787.308,852.305,919.335,989.733,1066.85,1156.88,1264.94,1369.19,1511.98,1744.27
3500,953.84,1009.24,1076.92,1146.63,1219.71,1300.17,1394.49,1506.86,1604.88,1734.99,1932.53
4250,1176.14,1220.87,1291.12,1363.41,1439.07,1522.91,1621.34,1737.87,1840.08,1959.68,2131.75
5000,1395.5,1424.63,1495.55,1570.32,1648.46,1735.68,1838.08,1958.61,2064.85,2174.31,2324.14
5750,1611.87,1624.79,1690.68,1767.84,1848.37,1938.99,2045.21,2169.6,2279.73,2383.19,2516.37
6500,1825.29,1821.38,1879.26,1956.41,2044.73,2133.26,2243.17,2371.27,2485.16,2584.92,2704.62
7250,2035.85,2014.57,2063.58,2139.05,2233.21,2323.45,2432.32,2564,2681.5,2778.33,2891.9
8000,2243.68,2204.55,2243.94,2316.56,2414.68,2517.55,2617.88,2748.11,2870.12,2964.81,3073.79
