H/V,330,387,444,501,558,615,672,729,786,843,900
500,0,18.7,40.5638,63.3302,87.7661,115.219,148.091,194.702,280.754,0,0
1250,115.385,135,157.827,182.599,208.928,238.26,272.757,298.091,344.702,779.83,0
2000,232.401,252.734,276.232,302.959,331.001,361.876,397.707,422.757,448.091,494.702,0
2750,347.786,368.729,392.725,421.567,451.341,483.644,511.876,547.707,572.757,598.091,0
3500,463.17,484.75,509.297,538.54,570.312,604.295,633.644,661.876,697.707,722.757,0
4250,578.555,600.779,625.883,655.473,689.566,720.312,754.295,783.644,811.876,847.707,1268.54
5000,695.694,718.529,744.128,773.95,805.473,839.566,870.312,904.295,933.644,961.876,997.707
5750,811.078,833.914,860.047,890.171,923.95,955.473,989.566,1020.31,1054.3,1083.64,1111.88
6500,926.463,950.755,977.444,1010.05,1040.17,1073.95,1105.47,1139.57,1170.31,1204.3,1233.64
7250,1043.53,1066.14,1100.76,1127.44,1160.05,1190.17,1223.95,1255.47,1289.57,1320.31,1354.3
8000,1164.41,1181.52,1216.14,1250.76,1277.44,1310.05,1340.17,1373.95,1405.47,1439.57,1470.31
