H/V,330,387,444,501,558,615,672,729,786,843,900
500,0,14.0117,29.6755,45.7179,62.4944,80.5576,100.722,125.198,157.2,205.328,311.145
1250,75,89.0117,104.675,120.718,137.494,155.558,175.722,200.198,232.682,280.117,355.328
2000,150,164.012,179.675,195.718,212.494,230.558,250.722,275.198,307.309,352.378,430.117
2750,225,239.012,254.675,270.718,287.494,305.558,325.722,350.198,381.488,423.59,490.899
3500,301.971,314.012,329.675,345.718,362.494,380.558,400.722,425.198,456.022,496.213,556.167
4250,381.724,389.012,404.675,420.718,437.494,455.558,475.722,500.198,531.022,569.691,624.338
5000,464.207,464.691,479.675,495.718,512.494,530.558,550.722,575.198,606.022,643.042,692.813
5750,549.459,542.572,554.675,570.718,587.494,605.558,625.722,650.198,681.022,717.617,763.883
6500,637.569,622.721,630.608,645.718,664.651,680.558,700.722,725.198,756.022,792.936,836.424
7250,728.678,705.259,708.374,721.828,742.24,757.415,775.722,800.198,831.022,868.508,911.678
8000,822.976,790.359,788.149,799.368,820.531,839.553,852.756,875.198,906.428,944.806,988.165
