Point,H_m,V_kmh,Maneuver,Segment_time_s,Segment_fuel_kg
1,500,330,START,0,0
2,1250,330,PODIEM,115.385,269.008
3,2000,330,PODIEM,117.017,257.98
4,2750,330,PODIEM,115.385,251.592
5,3500,330,PODIEM,115.385,239.588
6,3500,387,RAZGON,21.5799,45.468
7,3500,444,RAZGON,24.5466,52.35
8,3500,501,RAZGON,29.2426,63.1172
9,3500,558,RAZGON,31.7726,69.3951
10,4250,615,RAZGON_PODIEM,150,301.164
11,5000,672,RAZGON_PODIEM,150,293.058
12,5750,729,RAZGON_PODIEM,150,285.29
13,6500,786,RAZGON_PODIEM,150,277.768
14,7250,843,RAZGON_PODIEM,150,270.426
15,8000,900,RAZGON_PODIEM,150,274.005
