Point,H_m,V_kmh,Maneuver,Segment_time_s,Segment_fuel_kg
1,500,330,START,0,0
2,500,387,RAZGON,14.0117,49.7148
3,500,444,RAZGON,15.6637,56.2327
4,500,501,RAZGON,16.0425,58.2648
5,500,558,RAZGON,16.7765,61.6338
6,500,615,RAZGON,18.0633,67.1184
7,500,672,RAZGON,20.1644,76.0708
8,500,729,RAZGON,24.4761,93.976
9,1250,729,PODIEM,75,281.594
10,2000,729,PODIEM,75,266.645
11,2750,729,PODIEM,75,253.685
12,3500,729,PODIEM,75,241.924
13,3500,786,RAZGON,30.8239,98.0224
14,4250,786,PODIEM,75,235.197
15,5000,786,PODIEM,75,224.775
16,5750,786,PODIEM,75,214.88
17,6500,786,PODIEM,75,205.424
18,7250,786,PODIEM,75,196.346
19,8000,786,PODIEM,75.4063,188.613
20,8000,843,RAZGON,38.3775,94.6914
21,8000,900,RAZGON,43.3593,108.986
