time,velocity,altitude,distance,fuel,thrust,theta
0.000,200.250,507.500,100.125,1.250,50000.000,10.000
0.500,200.500,515.000,200.375,2.500,50000.000,10.000
1.000,200.750,522.500,300.750,3.750,50000.000,10.000
1.500,201.000,530.000,401.250,5.000,50000.000,10.000
2.000,201.250,537.500,501.875,6.250,50000.000,10.000
2.500,201.500,545.000,602.625,7.500,50000.000,10.000
3.000,201.750,552.500,703.500,8.750,50000.000,10.000
3.500,202.000,560.000,804.500,10.000,50000.000,10.000
4.000,202.250,567.500,905.625,11.250,50000.000,10.000
4.500,202.500,575.000,1006.875,12.500,50000.000,10.000
5.000,202.750,582.500,1108.250,13.750,50000.000,10.000
5.500,203.000,590.000,1209.750,15.000,50000.000,10.000
6.000,203.250,597.500,1311.375,16.250,50000.000,10.000
6.500,203.500,605.000,1413.125,17.500,50000.000,10.000
7.000,203.750,612.500,1515.000,18.750,50000.000,10.000
7.500,204.000,620.000,1617.000,20.000,50000.000,10.000
8.000,204.250,627.500,1719.125,21.250,50000.000,10.000
8.500,204.500,635.000,1821.375,22.500,50000.000,10.000
9.000,204.750,642.500,1923.750,23.750,50000.000,10.000
9.500,205.000,650.000,2026.250,25.000,50000.000,10.000
10.000,205.250,657.500,2128.875,26.250,50000.000,10.000
10.500,205.500,665.000,2231.625,27.500,50000.000,10.000
11.000,205.750,672.500,2334.500,28.750,50000.000,10.000
11.500,206.000,680.000,2437.500,30.000,50000.000,10.000
12.000,206.250,687.500,2540.625,31.250,50000.000,10.000
12.500,206.500,695.000,2643.875,32.500,50000.000,10.000
13.000,206.750,702.500,2747.250,33.750,50000.000,10.000
13.500,207.000,710.000,2850.750,35.000,50000.000,10.000
14.000,207.250,717.500,2954.375,36.250,50000.000,10.000
14.500,207.500,725.000,3058.125,37.500,50000.000,10.000
15.000,207.750,732.500,3162.000,38.750,50000.000,10.000
15.500,208.000,740.000,3266.000,40.000,50000.000,10.000
16.000,208.250,747.500,3370.125,41.250,50000.000,10.000
16.500,208.500,755.000,3474.375,42.500,50000.000,10.000
17.000,208.750,762.500,3578.750,43.750,50000.000,10.000
17.500,209.000,770.000,3683.250,45.000,50000.000,10.000
18.000,209.250,777.500,3787.875,46.250,50000.000,10.000
18.500,209.500,785.000,3892.625,47.500,50000.000,10.000
19.000,209.750,792.500,3997.500,48.750,50000.000,10.000
19.500,210.000,800.000,4102.500,50.000,50000.000,10.000
