time,velocity,altitude,distance,fuel,thrust,theta
0.000,250.800,1020.000,250.800,2.809,57705.000,14.044
1.000,251.600,1040.000,502.400,5.614,57660.000,14.025
2.000,252.400,1060.000,754.800,8.415,57615.000,14.006
3.000,252.640,1080.000,1007.440,11.212,57570.000,13.988
4.000,252.880,1100.000,1260.320,14.006,57525.000,13.969
5.000,253.120,1120.000,1513.440,16.796,57480.000,13.950
6.000,253.360,1140.000,1766.800,19.582,57435.000,13.931
7.000,253.600,1160.000,2020.400,22.365,57390.000,13.912
8.000,253.840,1180.000,2274.240,25.144,57345.000,13.894
9.000,254.080,1200.000,2528.320,27.919,57300.000,13.875
10.000,254.320,1220.000,2782.640,30.690,57255.000,13.856
11.000,254.560,1240.000,3037.200,33.457,57210.000,13.838
12.000,254.800,1260.000,3292.000,36.221,57165.000,13.819
13.000,255.040,1280.000,3547.040,38.981,57120.000,13.800
14.000,255.280,1300.000,3802.320,41.737,57075.000,13.781
15.000,255.520,1320.000,4057.840,44.490,57030.000,13.762
16.000,255.760,1340.000,4313.600,47.239,56985.000,13.744
17.000,256.000,1360.000,4569.600,49.984,56940.000,13.725
18.000,256.240,1380.000,4825.840,52.725,56895.000,13.706
19.000,256.480,1400.000,5082.320,55.462,56850.000,13.688
20.000,256.720,1420.000,5339.040,58.196,56805.000,13.669
21.000,256.960,1440.000,5596.000,60.926,56760.000,13.650
22.000,257.200,1460.000,5853.200,63.652,56715.000,13.631
23.000,257.440,1480.000,6110.640,66.375,56670.000,13.612
24.000,257.680,1500.000,6368.320,69.094,56625.000,13.594
25.000,257.920,1520.000,6626.240,71.809,56580.000,13.575
26.000,258.160,1540.000,6884.400,74.520,56535.000,13.556
27.000,258.400,1560.000,7142.800,77.227,56490.000,13.537
28.000,258.640,1580.000,7401.440,79.931,56445.000,13.519
29.000,258.880,1600.000,7660.320,82.631,56400.000,13.500
30.000,259.120,1620.000,7919.440,85.328,56355.000,13.481
31.000,259.360,1640.000,8178.800,88.020,56310.000,13.462
32.000,259.600,1660.000,8438.400,90.709,56265.000,13.444
33.000,259.840,1680.000,8698.240,93.394,56220.000,13.425
34.000,260.080,1700.000,8958.320,96.075,56175.000,13.406
35.000,260.320,1720.000,9218.640,98.752,56130.000,13.387
36.000,260.560,1740.000,9479.200,101.426,56085.000,13.369
37.000,260.800,1760.000,9740.000,104.096,56040.000,13.350
38.000,261.040,1780.000,10001.040,106.763,55995.000,13.331
39.000,261.280,1800.000,10262.320,109.425,55950.000,13.312
