# L_m H_m fuel_kg V_kmh
4.51581 500.786 1.8375 330.062
9.03405 501.564 3.67508 330.127
13.5547 502.332 5.51275 330.196
18.0779 503.092 7.35049 330.268
22.6037 503.843 9.18832 330.344
27.1319 504.585 11.0262 330.423
31.6628 505.318 12.8642 330.505
36.1963 506.042 14.7023 330.592
40.7324 506.757 16.5404 330.681
45.2712 507.463 18.3786 330.775
49.8127 508.161 20.2169 330.871
54.3569 508.849 22.0552 330.971
58.9039 509.529 23.8937 331.075
63.4537 510.2 25.7322 331.182
68.0064 510.862 27.5707 331.293
72.5618 511.515 29.4094 331.407
77.1202 512.159 31.2481 331.524
81.6815 512.795 33.0869 331.646
86.2458 513.421 34.9257 331.77
90.813 514.038 36.7646 331.898
95.3833 514.647 38.6036 332.03
99.9566 515.247 40.4426 332.165
104.533 515.838 42.2817 332.303
109.112 516.42 44.1209 332.445
113.695 516.993 45.9601 332.591
118.281 517.557 47.7994 332.74
122.87 518.112 49.6388 332.892
127.462 518.658 51.4782 333.048
132.057 519.196 53.3176 333.208
136.656 519.724 55.1571 333.371
141.258 520.243 56.9967 333.537
145.864 520.754 58.8363 333.707
150.472 521.256 60.676 333.881
155.085 521.748 62.5157 334.058
159.7 522.232 64.3555 334.238
164.319 522.707 66.1954 334.422
168.942 523.172 68.0352 334.609
173.568 523.629 69.8752 334.8
178.198 524.077 71.7152 334.994
182.831 524.515 73.5552 335.192
187.468 524.945 75.3953 335.394
192.109 525.366 77.2354 335.598
196.753 525.778 79.0755 335.807
201.401 526.18 80.9157 336.018
206.053 526.574 82.756 336.234
210.709 526.959 84.5963 336.452
215.368 527.334 86.4366 336.674
220.031 527.701 88.277 336.9
224.698 528.058 90.1174 337.129
229.369 528.406 91.9578 337.362
234.044 528.745 93.7983 337.598
238.723 529.076 95.6388 337.837
243.406 529.397 97.4794 338.081
248.093 529.708 99.32 338.327
252.784 530.011 101.161 338.577
257.479 530.305 103.001 338.831
262.178 530.589 104.842 339.087
266.881 530.864 106.683 339.348
271.589 531.13 108.523 339.612
276.3 531.387 110.364 339.879
281.016 531.635 112.205 340.15
285.737 531.873 114.046 340.424
290.461 532.102 115.887 340.702
295.19 532.322 117.727 340.983
299.923 532.532 119.568 341.268
304.661 532.734 121.409 341.556
309.402 532.926 123.25 341.848
314.149 533.108 125.091 342.143
318.9 533.282 126.932 342.441
323.655 533.446 128.773 342.743
328.415 533.6 130.614 343.049
333.18 533.746 132.455 343.358
337.949 533.881 134.296 343.67
342.722 534.008 136.137 343.986
347.501 534.125 137.978 344.305
352.284 534.232 139.819 344.628
357.071 534.331 141.661 344.954
361.864 534.419 143.502 345.284
366.661 534.498 145.343 345.617
371.463 534.568 147.184 345.953
376.27 534.628 149.025 346.293
381.082 534.679 150.866 346.637
385.899 534.72 152.707 346.984
390.72 534.751 154.548 347.334
395.547 534.773 156.39 347.688
400.378 534.785 158.231 348.045
405.214 534.787 160.072 348.406
410.056 534.78 161.913 348.77
414.902 534.771 163.754 349.135
419.754 534.761 165.595 349.5
424.611 534.751 167.437 349.864
429.472 534.741 169.278 350.229
434.339 534.732 171.119 350.594
